NCGC00260230-01,F[P-](F)(F)(F)(F)F.CCCC[N+]1=CC=CC(C)=C1
NCGC00253934-01,ClC1=CC=C(Cl)C=C1
NCGC00094855-01,NS(=O)(=O)C1=CC2=C(NC(CSCC=C)NS2(=O)=O)C=C1Cl
NCGC00258427-01,CCN(CC)CC
NCGC00160398-01,CS(O)(=O)=O.NC(=N)NC1=CC=C(C=C1)C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(N)=N
NCGC00164168-02,O=C(OC1=CC=CC=C1)C2=CC(=CC=C2)C(=O)OC3=CC=CC=C3
NCGC00091326-01,CC(=O)NC1=CC=CC=C1
NCGC00015894-02,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
NCGC00257319-01,CC1=C(C)C(O)=CC=C1
NCGC00256301-01,NC1=CC=CC=C1S(=O)(=O)C2=CC=CC=C2
NCGC00256613-01,CC1=CC=NC=C1
NCGC00254953-01,CC\C=C\CCCCCCCCCCOC(C)=O
NCGC00259209-01,O=C1N(CC2CO2)C(=O)N(CC3CO3)C(=O)N1CC4CO4
NCGC00259244-01,[Cl-].C[N+](C)(CC=C)CC=C
NCGC00254942-01,CCOC(=O)C(C)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1
NCGC00164484-02,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
NCGC00255721-01,CC(C)C1=CC=CC(O)=C1
NCGC00259195-01,NC(CO)(CO)CO
NCGC00257383-01,CCCC1=CC=C(N)C=C1
NCGC00256214-01,NCCN1CCNC1=O
NCGC00016499-01,Cl.CC1CC(CC(C)(C)N1C)OC(=O)C(O)C2=CC=CC=C2
NCGC00256170-01,CC1=NN(C(=O)C1)C2=CC=C(C=C2)S(O)(=O)=O
NCGC00258447-01,[O-][N+](=O)C1=CC(Cl)=C(Cl)C(Cl)=C1Cl
NCGC00258678-01,CN(N=O)C(=N)N[N+]([O-])=O
NCGC00257060-01,CC(C)=CCCC(C)(O)C=C
NCGC00016772-01,OS(O)(=O)=O.CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1.CC(C)(C)NCC(O)C2=CC(O)=CC(O)=C2
NCGC00229704-01,CN(CC1=CC2=C(C=C1)N=C(C)NC2=O)C3=CC=C(S3)C(=O)N[C@@H](CCC(O)=O)C(O)=O
NCGC00257955-01,FC(F)(Cl)C(F)(Cl)Cl
NCGC00166146-01,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]3([H])C4=C(CC[C@@]23[H])C=C(OC5CCCC5)C=C4
NCGC00182709-02,Cl.CC1(C)OC[C@@H](COC(=O)CCC2=CC=C(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)C=C2)O1
NCGC00259830-01,CC(=C)C(N)=O
NCGC00164561-01,CC(=O)N[C@@H]1[C@@H](NC(N)=N)C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O
NCGC00256164-01,[Zn++].CCC(C)(CCC(C)C)C([O-])=O.CCC(C)(CCC(C)C)C([O-])=O
NCGC00259296-01,CC1=NN(C(=O)C1)C2=CC=CC=C2
NCGC00256707-01,CCCCCC\C=C\C(=O)OC
NCGC00015443-06,FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1
NCGC00258737-01,OC(=O)CCCl
NCGC00260464-01,[H]\C(=C(\[H])C1=CC=C(C=C1)[N+]([O-])=O)C2=CC=C(C=C2)N(C)C
NCGC00256595-01,CC1CC(=O)O1
NCGC00254761-01,ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O
NCGC00258740-01,CCC(C)OC(C)CC
NCGC00016824-01,[H][C@@]12C[C@@H](C)[C@H](C(=O)COC(=O)C(C)(C)C)[C@@]1(C)C[C@H](O)[C@@]3(Cl)[C@@]2([H])C[C@H](F)C4=CC(=O)C=C[C@]34C
NCGC00256856-01,[H][C@]12CC(=O)O[C@]1(C)CC[C@@]3([H])C(C)(C)CCC[C@]23C
NCGC00257145-01,ClC1=CC(Cl)=C(Cl)C(Cl)=C1Cl
NCGC00017100-01,O.[H][C@@]12CC[C@H](O)[C@H](C(O)=O)[C@@]1([H])C[C@]3([H])N(CCC4=C3NC5=C4C=CC=C5)C2
NCGC00258951-01,CC1=CC=NC=C1
NCGC00259483-01,CCCCSP(=O)(SCCCC)SCCCC
NCGC00167585-01,O.Cl.NC1=C2CCCC2=NC3=C1CCCC3
NCGC00017049-01,[Na+].CN(CS([O-])(=O)=O)C1=C(C)N(C)N(C1=O)C2=CC=CC=C2
NCGC00094509-01,CI.[H][C@]12CC[C@]([H])(C[C@H](C1)OC(=O)C3=CNC4=C3C=CC=C4)N2C
NCGC00256290-01,OCC1(CO)COCOC1
NCGC00258642-01,CC(=O)C(Cl)Cl
NCGC00254520-01,CC(C)CCCCCCC1=CC=C(O)C=C1
NCGC00257188-01,[Na+].[O-]C1=CC=CC=C1
NCGC00257632-01,NC1=CC2=C(C=C1)C=C(C=C2O)S(O)(=O)=O
NCGC00182989-01,ClC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCC2
NCGC00256838-01,CC\C=C/CCOC(=O)C(\C)=C\C
NCGC00254444-01,ClC1=NC(Cl)=C(Cl)C(Cl)=C1Cl
NCGC00256052-01,CCO[Si](CC(C)C)(OCC)OCC
NCGC00258925-01,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
NCGC00254632-01,[Na+].COC(=O)C1=C(C=C(I)C=C1)S(=O)(=O)[N-]C(=O)NC2=NC(OC)=NC(C)=N2
NCGC00255034-01,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(Cl)C=C2
NCGC00253933-01,O=C1CCCCCN1
NCGC00258719-01,[O-][N+](=NC1=CC=CC=C1)C2=CC=CC=C2
NCGC00181141-01,CC(C(O)=O)C12CCC3(C)C1CC(=O)C(C)C3C2=O
NCGC00018211-03,CC1CCC2=CC(F)=CC3=C2N1C=C(C(O)=O)C3=O
NCGC00258472-01,OC(=O)CCC(=O)C(O)=O
NCGC00090972-01,CC(O)C(O)=O
NCGC00159353-02,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]4C=C(CO)[C@@H](O)[C@H](O)[C@H]4O
NCGC00183362-01,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC3=CC=CC=C3)C(N)=O
NCGC00256776-01,C(N1CCCCC1)N2CCCCC2
NCGC00254784-01,OCCCCCO
NCGC00167434-01,[K+].CC1=CC=CN2C(=O)C(=CN=C12)C3=NN=N[N-]3
NCGC00090767-02,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O
NCGC00256763-01,CCC(=O)OCC1=CC=C(OC)C=C1
NCGC00091544-04,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]3([H])C4=CC=C(O)C=C4CC[C@@]23[H]
NCGC00160437-01,CCN(CC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O
NCGC00258417-01,[Na+].[O-]S(=O)(=O)CCS
NCGC00166262-01,OS(=O)(=O)C1=CC2=C(NC(=N2)C3=CC=CC=C3)C=C1
NCGC00256334-01,[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])NC(=O)C=C[C@]34C
NCGC00256417-01,OC1=C(C=C(C=C1)[As](O)(O)=O)[N+]([O-])=O
NCGC00183097-01,[Na+].[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C3=CC=CC(CCCC([O-])=O)=C3O2
NCGC00254887-01,CCCCSCCCC
NCGC00255746-01,CCCCOC(=O)CC#N
NCGC00095042-06,S=P(N1CC1)(N2CC2)N3CC3
NCGC00254509-01,CCCCCCCCOC(=O)C1=CC=C(C(=O)OCCCCCCCC)C(=C1)C(=O)OCCCCCCCC
NCGC00016035-02,Cl.ClC1=CC=CC(=C1)N2CCN(CCCN3N=C4C=CC=CN4C3=O)CC2
NCGC00255536-01,[Na+].[Na+].CCOC1=CC=C(C=C1)N=NC2=CC=C(C=CC3=CC=C(C=C3S([O-])(=O)=O)N=NC4=CC=C(OCC)C=C4)C(=C2)S([O-])(=O)=O
NCGC00256183-01,CC(C)(C1CCC(O)CC1)C2CCC(O)CC2
NCGC00256094-01,COC1=CC(N)=C(OC)C=C1S(=O)(=O)NC2=CC=CC=C2
NCGC00164563-01,NC1=NC2=C(N=CN2[C@H]3C[C@H](O)[C@@H](CO)C3=C)C(=O)N1
NCGC00255568-01,[H][C@@]1([C@H](OC)[C@@H](CC[C@]12CO2)OC(=O)\C=C\C=C\C=C\C=C\C(O)=O)[C@@]3(C)O[C@@H]3CC=C(C)C
NCGC00259515-01,CC1=CC=CN=C1
NCGC00182060-02,Cl.COC1=CC=CC(=C1)C(=O)CCN[C@@H](C)[C@H](O)C2=CC=CC=C2
NCGC00260430-01,COC1=CC(N)=CC=C1C
NCGC00255905-01,[K+].CCOC([S-])=S
NCGC00257879-01,OC(=O)C1=CC=CC(Cl)=C1
NCGC00257025-01,CC(O)COCC(C)O
NCGC00259189-01,CC(=C)CCl
NCGC00254568-01,CC1=C(C=CC=C1Cl)[N+]([O-])=O
NCGC00257573-01,ClC\C=C\CCl
NCGC00254741-01,NC(=O)NC1=CC=C(Cl)C=C1
NCGC00260376-01,ClC1=NC(Cl)=NC=C1
NCGC00168781-01,[H][C@]12CC3=C(NC4=C3C=CC=C4)[C@]([H])(N1C(=O)CN(C)C2=O)C5=CC=C6OCOC6=C5
NCGC00094851-01,CC(=O)NCC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I
NCGC00015014-05,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
NCGC00256007-01,CC1=CC=CC=C1CCO
NCGC00257387-01,CCCCCCOC1=CC=C(N)C=C1
NCGC00016955-01,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC
NCGC00258525-01,NS(=O)(=O)C1=CC2=C(C=C1Cl)N=CNS2(=O)=O
NCGC00159345-02,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C3=CC=CC=C3
NCGC00160545-01,CC(NNC(=O)C1=CC=CC=C1)C2=CC=CC=C2
NCGC00095125-01,CCCCC1=NC(Cl)=C(CO)N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NN=NN4
NCGC00257870-01,CC=CC=O
NCGC00255200-01,CCC(Br)(CC)C(=O)NC(N)=O
NCGC00258333-01,CCCCOC(=O)\C=C/C(=O)OCCCC
NCGC00159403-02,[H][C@@]12CC[C@H](OC(=O)CCCCCCCCC)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CCC(=O)C=C4CC[C@@]23[H]
NCGC00257165-01,CC1=CC=C2OC(=O)C=CC2=C1
NCGC00258744-01,CCC(=O)\C=C\C1C(C)=CCCC1(C)C
NCGC00182030-01,[Na+].[Na+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@@]2([H])NC(=O)[C@@H](C3=CC=CC=C3)S([O-])(=O)=O)C([O-])=O
NCGC00257791-01,CC1(C)C2CCC1(C)C(=O)C2
NCGC00257502-01,O=C(OCC1=CC=CC=C1)C2=CC=CC=C2
NCGC00181083-01,Cl.OC(C(=O)OCCN1CCCCC1)(C2=CC=CC=C2)C3=CC=CC=C3
NCGC00256873-01,C1CC(CC=C1)C2=CC=CC=C2
NCGC00254108-01,CC1=CC=C(C=C1)S(O)(=O)=O.CCN(C(C)C)C(=O)C2=CC(OC[C@H](C)NC3=CC=NC=C3)=CC(C)=C2
NCGC00255121-01,CC(C)[C@H](C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C3=CC=C(OC(F)F)C=C3
NCGC00255110-01,CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2
NCGC00016927-01,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N3CCNCC3
NCGC00256861-01,CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC
NCGC00257417-01,CC1=CC(C)=C(C(O)=O)C(C)=C1
NCGC00260009-01,OC(=O)CC[N+]([O-])=O
NCGC00091146-04,N1C2=CC=CC=C2SC3=C1C=CC=C3
NCGC00255712-01,CCO[Si](CC)(OCC)OCC
NCGC00257680-01,NC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O
NCGC00166284-01,[Na+].[H][C@]12COC(C)(C)O[C@@]1([H])[C@]3([H])OC(C)(C)O[C@@]3(O2)C([O-])=O
NCGC00257610-01,BrC1=C2C(=O)OC(=O)C2=C(Br)C(Br)=C1Br
NCGC00166070-01,Cl.CCCCCCCCCCOCC(O)CN
NCGC00256712-01,CC(=O)CCC1=C(C)CCCC1(C)C
NCGC00258131-01,[Cl-].CCN1C=C[N+](C)=C1
NCGC00257159-01,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
NCGC00254315-01,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
NCGC00257846-01,CC1=CC(C)=CC=C1
NCGC00257206-01,CCCCCCCCCCCCCl
NCGC00255981-01,CCCCCC1CCCC(=O)O1
NCGC00256124-01,[Na+].[Na+].[O-]S(=O)(=O)C1=CC(=CC=C1)S([O-])(=O)=O
NCGC00160482-01,COC1=NC=CN=C1NS(=O)(=O)C2=CC=C(N)C=C2
NCGC00254139-01,ClCCOP(=O)(OCCCl)OCCCl
NCGC00258676-01,C=CCCC#N
NCGC00257480-01,O=C(OC1=CC=CC=C1)C2=CC=CC=C2
NCGC00257515-01,CC(O)C(O)=O
NCGC00254418-01,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]3C[C@@H](O)CC(=O)O3)OC(=O)C(C)(C)CC
NCGC00260441-01,COC1=CC=C(NC2=CC=C(OC)C=C2)C=C1
NCGC00163217-01,[Cl-].CC(C[N+](C)(C)C)OC(N)=O
NCGC00095068-01,COC1=CC2=CC=C(C=C2C=C1)[C@H](C)CO
NCGC00260498-01,CN1C(=N)NC2=C(N=CN2)C1=O
NCGC00074022-02,CNC(=O)OCC1=CC=CC(COC(=O)NC)=N1
NCGC00257601-01,CC(CO)CO
NCGC00254620-01,OCNC(=O)NCO
NCGC00091454-04,OC1=CC=CC=C1
NCGC00168349-01,[Na+].[Na+].[O-]C(=O)C1=C(C=CC=C1)C(C2=CC(I)=C([O-])C(I)=C2)=C3C=C(I)C(=O)C(I)=C3
NCGC00259381-01,COC(=O)C1=CC=CC=C1
NCGC00167451-01,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])C[C@H](F)C4=CC(=O)C=C[C@]34C
NCGC00256189-01,OC(=O)CCC1=CC=CC=C1
NCGC00018238-04,CCCOC1=CC2=C(NC(NC(=O)OC)=N2)C=C1
NCGC00255272-01,CCCCCCCCSCCO
NCGC00256864-01,CC(C)(CO)C(O)C(=O)NCCCO
NCGC00258190-01,CCC(=O)C=C
NCGC00257788-01,O=C=NC1CCCCC1
NCGC00259706-01,ClC1=C(Cl)C=CC=C1
NCGC00254434-01,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
NCGC00258394-01,ClCOCCl
NCGC00257134-01,CCCCOC(=O)COC(=O)C1=CC=CC=C1C(=O)OCCCC
NCGC00159419-02,CCC1(CC)C(=O)NC(=O)NC1=O
NCGC00256602-01,CC(C)C1=CC=C(CO)C=C1
NCGC00256210-01,CCCCCCCCCCOC(=O)C=C
NCGC00164339-02,CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O
NCGC00254843-01,CC(CCC=C(C)C)C=O
NCGC00256078-01,CC(CCOC(=O)C(C)=C)OC(=O)C(C)=C
NCGC00181108-01,Cl.CCN(CC)C(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)(C)C)C=C1
NCGC00255004-01,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO
NCGC00095000-01,Cl.CN(C)CCCO[C@H]1[C@H](O[C@@H]2OC(C)(C)O[C@H]12)[C@H](O)CO
NCGC00090903-01,OC(=O)C1=CC(=CC=C1O)\N=N\C2=CC=C(C=C2)S(=O)(=O)NC3=NC=CC=C3
NCGC00167480-01,OCN1C(=O)CCC1=O
NCGC00018221-06,OC(=O)C1=C2C=CC=CC2=NC(=C1)C3=CC=CC=C3
NCGC00256711-01,CCCCC(C)C(O)=O
NCGC00254072-01,[Na+].[O-]C(=O)C1=CC=CC=C1
NCGC00092384-02,CN1CC(=O)N=C1NC(=O)NC2=CC(Cl)=CC=C2
NCGC00257250-01,CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C
NCGC00016309-02,NC1=CC=C(C=C1)S(=O)(=O)NC2=NC=CS2
NCGC00168774-01,CS(O)(=O)=O.C#CCN[C@@H]1CCC2=CC=CC=C12
NCGC00259690-01,CC(C)(C1=CC=C(OCC2CO2)C=C1)C3=CC=C(OCC4CO4)C=C3
NCGC00091937-01,Cl.Cl.NCCNC1=C2C=CC=CC2=CC=C1
NCGC00255479-01,CC(C)(NC1=NC(Cl)=NC(NC2CC2)=N1)C#N
NCGC00255529-01,CC(C)OC(=O)C1=CC=CC=C1C(=O)OC(C)C
NCGC00255268-01,NCCCN1CCN(CCCN)CC1
NCGC00258638-01,CCCC(=O)OC(=O)CCC
NCGC00255347-01,CCOC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OCC)C=CC=C1
NCGC00256005-01,[Na+].OC1=CC=C(C=C1)C2(OS(=O)(=O)C3=C2C=CC=C3)C4=CC=C([O-])C=C4
NCGC00259370-01,CN(C)CCO
NCGC00256994-01,CC1=CC=C(C=C1)C(C)(C)C
NCGC00016916-09,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N3CCNCC3
NCGC00253961-01,CC(C)(C1=CC=CC=C1)C2=CC=C(O)C=C2
NCGC00166307-01,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)CCC3=C)[C@H](C)\C=C\[C@H](C)C(C)C
NCGC00255130-01,CC1(C)N(Cl)C(=O)N(Br)C1=O
NCGC00259119-01,[O-][N+](=O)C(Cl)(Cl)Cl
NCGC00260425-01,CC(=O)CC(=O)C1=CC=CC=C1
NCGC00162275-02,O[C@H]1CC[C@@]2(O)[C@H]3CC4=C5C(O[C@@H]1[C@@]25CCN3CC6CCC6)=C(O)C=C4
NCGC00255717-01,CCO[Si](OCC)(OCC)C1=CC=CC=C1
NCGC00259076-01,NC(=O)C=C
NCGC00167444-01,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C4=C(O)C=C(C)N=C4)C5=CC=C(O)C=C5)C(O)=O
NCGC00017006-01,[Cl-].CC[N+](CC)(CC)CCC(O)(C1CCCCC1)C2=CC=CC=C2
NCGC00258604-01,[Na+].CCOC(=O)CC([O-])C(=O)OCC
NCGC00016244-09,NNC(=O)C1=CC=NC=C1
NCGC00254740-01,C\C=C\C=C\CCCCCCCO
NCGC00183001-01,CC1=CC=CC=C1C(=O)NC2=CC=C(C(=O)N3CCCC(O)C4=C3C=CC(Cl)=C4)C(C)=C2
NCGC00258751-01,CN(CCO)CCO
NCGC00257820-01,ClCC1=CC=CC=C1
NCGC00254543-01,O.ClCCN(CCCl)P1(=O)NCCCO1
NCGC00258617-01,CCC1=CC=CC=C1
NCGC00181148-01,CCC1(CC)C(=O)NC(=O)N(C)C1=O
NCGC00095010-01,Cl.COC1=CC=C(CN(CCN(C)C)C2=NC=CC=N2)C=C1
NCGC00160623-01,CCCCC(CC)COC(=O)C=CC1=CC=C(OC)C=C1
NCGC00259822-01,NC(=O)N1C2=CC=CC=C2C=CC3=C1C=CC=C3
NCGC00016887-01,Cl.CCC1(CCCCN(C)C1)C2=CC=CC(O)=C2
NCGC00160596-02,CCCCCCCCCCCCCCCCCC(=O)O[Al](O)O
NCGC00159449-02,CCN(CC)CCSC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2
NCGC00095975-01,Cl.CNCC1=CC=CC=C1
NCGC00255290-01,[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O
NCGC00183045-01,C(C1=NCCN1)C2=CC3=CC=CC=C3C=C2
NCGC00160543-01,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)O
NCGC00095160-01,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
NCGC00260025-01,OC(=O)C=CC1=CC=C(C=CC(O)=O)C=C1
NCGC00256314-01,CC(=O)CCC(O)=O
NCGC00015846-11,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3
NCGC00255925-01,CC1=C(C)C(=C(C(=C1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O
NCGC00254976-01,N#CCNCC#N
NCGC00256889-01,CCCCC1CCCCC(=O)O1
NCGC00259852-01,COP(=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O
NCGC00167984-01,[Br-].[H][C@]12CCCC[N@+]1(C)CC(CC2)=C(C3=CC=CS3)C4=CC=CS4
NCGC00260487-01,BrCC(=O)C1=CC=CC=C1
NCGC00259375-01,CC(=O)OCC1=CC=CC=C1
NCGC00183332-01,[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N3C(=O)[C@](NC(=O)[C@H]4CN(C)[C@]5([H])CC6=CNC7=CC=CC(=C67)[C@@]5([H])C4)(O[C@@]23O)C(C)C
NCGC00260118-01,[Na+].OC(COCC=C)CS([O-])(=O)=O
NCGC00255175-01,OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1
NCGC00016871-01,OS(O)(=O)=O.NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)C(O)[C@H]2O[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[C@H](N)[C@@H](O)[C@@H]1O
NCGC00167491-01,NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC=C1
NCGC00016360-01,OC1=CC=C(OCC2=CC=CC=C2)C=C1
NCGC00255662-01,CCCCC(CC)COC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=C1
NCGC00258076-01,ClC1CCCCC1=O
NCGC00260361-01,COC(=O)C1=CC=C(CBr)C=C1
NCGC00255574-01,OCN1C(NC(=O)NCNC(=O)NC2N(CO)C(=O)NC2=O)C(=O)NC1=O
NCGC00258196-01,CC(C)N(C(C)C)C(=O)SCC(Cl)=CCl
NCGC00257484-01,CN1C(COC(N)=O)=NC=C1[N+]([O-])=O
NCGC00166205-01,FC1=CC=CC(F)=C1C(=O)NC(=O)NC2=CC(OC3=NC=C(C=C3Cl)C(F)(F)F)=C(Cl)C=C2
NCGC00259168-01,CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1
NCGC00259685-01,ClCCOP(OCCCl)OCCCl
NCGC00256512-01,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
NCGC00258522-01,CC1=CC=C(Br)C=C1
NCGC00160615-01,CC(=O)OC[C@H]1O[C@@](COC(C)=O)(O[C@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
NCGC00259516-01,CCCCCCCC\C=C/CCCCCCCC(O)=O
NCGC00166216-01,CCCCCC(C=O)=CC1=CC=CC=C1
NCGC00254491-01,CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN2C=NC=N2
NCGC00260451-01,CCOC(=O)CC(=O)C1=CC(F)=C(Cl)N=C1Cl
NCGC00257847-01,CC(=O)C1=CC=C(Cl)C(Cl)=C1Cl
NCGC00256110-01,COC(=O)C1=C(C=CC(Cl)=C1)[N+]([O-])=O
NCGC00258421-01,O.O.O.Br.CN1[C@H]2C[C@@H](C[C@@H]1[C@H]3O[C@@H]23)OC(=O)[C@H](CO)C4=CC=CC=C4
NCGC00259499-01,O=C(C1CCCCC1)N2CC3N(CCC4=C3C=CC=C4)C(=O)C2
NCGC00254094-01,NNC(=O)C1=CC=NC=C1
NCGC00255381-01,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O
NCGC00257198-01,NCCNCCN
NCGC00183023-01,CC1=NC(=CN1C2=CC=C(C=C2)[N+]([O-])=O)[N+]([O-])=O
NCGC00182971-01,[Br-].[Br-].C[N+](C)(CCCCCC[N+](C)(C)C1C2=C(C=CC=C2)C3=C1C=CC=C3)C4C5=C(C=CC=C5)C6=C4C=CC=C6
NCGC00259867-01,COC(=O)C1=CC=C(O)C=C1
NCGC00256160-01,CCC(C)C1=NC=CN=C1OC
NCGC00161605-01,CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(O)=C1O
NCGC00255239-01,[Na+].[Na+].NC1=CC(N)=C(C=C1)\N=N\C2=CC=C(C=C2)C3=CC=C(C=C3)\N=N\C4=C(C=C5C=C(C(\N=N\C6=CC=CC=C6)=C(O)C5=C4N)S([O-])(=O)=O)S([O-])(=O)=O
NCGC00183866-01,Cl.COC1=CC2=C(C=C1OC)C(CCN3CCN(CC3)C4=CC=CC=C4)=C(C)N2
NCGC00254201-01,CN(C)C1=CC=C(C)C=C1
NCGC00074024-02,Cl.CN1CCN(CC1)C2=C(F)C=C3C(=O)C(=CN4CCSC2=C34)C(O)=O
NCGC00258501-01,BrC1=CC=CC(C=O)=C1
NCGC00260029-01,CC(C)=O
NCGC00015389-08,CC(C)C1=CC=CC(C(C)C)=C1O
NCGC00167470-01,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)N3CCN(C3=O)S(C)(=O)=O)C4=CC=CC=C4)C(O)=O
NCGC00163745-03,CCOP(=O)(OCC)OC(=CCl)C1=C(Cl)C=C(Cl)C=C1
NCGC00254621-01,CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F
NCGC00254128-01,[Cl-].C[N+](C)(C)CC1CO1
NCGC00256961-01,O1C2=CC=CC=C2SC3=CC=CC=C13
NCGC00258616-01,NC1=C(Cl)C=C(Cl)C=C1Cl
NCGC00016224-02,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O
NCGC00254816-01,CN=C=S
NCGC00094820-01,OS(O)(=O)=O.CC(C)NNC(=O)C1=CC=NC=C1
NCGC00258343-01,OC1=CC2=CC=C(SSC3=CC4=CC=C(O)C=C4C=C3)C=C2C=C1
NCGC00256878-01,CCC(=O)OC(C)(CCC=C(C)C)C=C
